name,review_count,rating,price,phone,display_phone,distance,lat,lng,zipcode,city
Roaming Hunger,124,4.0,$$,+18005689370,(800) 568-9370,5878.96743188699,34.097384,-118.3683601,90046,West Hollywood
Prince of Venice Food Truck,65,4.0,$$,+13106145443,(310) 614-5443,9627.652417125457,34.03313,-118.43872,90064,Los Angeles
Sam's Gourmet,30,4.0,$,+13234858521,(323) 485-8521,10179.680437677434,34.0498352050781,-118.212745666504,90033,Los Angeles
German's Catering Truck,41,5.0,$,+12138045854,(213) 804-5854,6263.058532380659,34.0107616343037,-118.292093033503,90037,Los Angeles
L.A Autentica Birrieria,120,5.0,$,+13236900987,(323) 690-0987,14746.067220052508,34.1871511,-118.3729288,91606,North Hollywood
Food-Truck Man,4,4.0,$$,+12029996689,(202) 999-6689,5015.472014257716,34.0255999177578,-118.288377484881,90007,Los Angeles
The Carnival Truck,10,4.0,$,+12133799873,(213) 379-9873,11561.907223698638,34.17144,-118.28592,91201,Los Angeles
Street Kitchen,223,4.0,$$,+13235162808,(323) 516-2808,4424.733221753789,34.0998,-118.32648,90028,Hollywood
The Garbage Truck,79,3.5,$,+14242350089,(424) 235-0089,12305.625781423201,33.97908,-118.25009,90001,Los Angeles
Mariscos Jalisco,134,4.5,$,+13233091622,(323) 309-1622,7316.322833174429,34.0340039972124,-118.249286006082,90021,Los Angeles
Kings Wings,126,4.5,$$,+18054569336,(805) 456-9336,4451.799222490807,34.1010193,-118.3297611,90028,Hollywood
WAFL Truck,91,4.0,$,+13238988799,(323) 898-8799,2876.005858016202,34.0690002441406,-118.350242614746,90036,Los Angeles
Mad Pambazos,33,4.5,$,+17037987268,(703) 798-7268,12305.625781423201,33.9788284301758,-118.249931335449,90001,Los Angeles
Amazebowls,178,4.5,$,+13236400973,(323) 640-0973,5860.203092103404,34.041488,-118.2625804,90015,Los Angeles
Okamoto Kitchen,516,4.0,$$,+18183739767,(818) 373-9767,13433.364841204091,34.1463062227897,-118.425396788406,91423,Los Angeles
Los Tacos Acosta,7,4.5,$,,,13844.717220136166,33.9546,-118.3982047,90045,Los Angeles
Postcards Central American Soul Food,128,4.5,$$,+13108010441,(310) 801-0441,5580.8995529348895,34.0387725830078,-118.26114654541,90015,Los Angeles
La Troca Catracha,12,4.5,$,+13237402228,(323) 740-2228,1816.3497991377328,34.06099,-118.30167,90010,Los Angeles
All Flavor No Grease,269,4.0,$$,+13233180409,(323) 318-0409,14790.545166477243,33.93804,-118.26194,90059,Los Angeles
Aji Teppanyaki,43,4.0,$$,+18185156778,(818) 515-6778,29459.98713370618,34.3097432,-118.4335721,91601,Los Angeles
Chiquis Taco Truck,60,4.5,$,+13239078108,(323) 907-8108,3292.4532026432244,34.0908937443473,-118.326503147299,90038,Los Angeles
KTOWN Night Market,174,3.0,$$,+14242449789,(424) 244-9789,2272.0039764952917,34.0598891,-118.2968023,90005,Los Angeles
The Food Truck Lot,6,4.0,$$,,,16374.48250178989,34.0020259,-118.4838472,90405,Santa Monica
B Sweet Dessert Truck,40,4.0,$,+13109639769,(310) 963-9769,7357.287967300945,34.0290045,-118.3908787,90034,Los Angeles
Mariscos Michoacan,14,4.0,$,,,2716.133293686045,34.0653498099349,-118.292245989163,90020,Los Angeles
Billionaire Burger Boyz,293,4.0,$$,+13105544116,(310) 554-4116,21845.514330272195,33.8893305,-118.2074657,90221,Compton
The Triple Threat Truck,149,3.5,$,+13235076404,(323) 507-6404,20866.501744402678,34.1580543518066,-118.512672424316,91316,Los Angeles
Tokyo Style Food Truck and Catering,186,4.5,$$,+13105916226,(310) 591-6226,12305.625781423201,33.97363,-118.24989,90001,Los Angeles
Kuushi Sushi,10,4.0,$$,+18189008589,(818) 900-8589,3463.4487568402233,34.06372,-118.35689,90036,Los Angeles
Baby's Badass Burgers,725,4.0,$$,+18779622297,(877) 962-2297,6311.81210658909,34.08841,-118.37783,90069,Los Angeles
Kogi BBQ Truck - Azul,2054,3.5,$,+13233150253,(323) 315-0253,7193.980371228938,34.10097,-118.29842,90027,Los Angeles
Hollywood Night Market,199,4.0,$$,+13234334805,(323) 433-4805,5280.308244503628,34.1058627501024,-118.342114999944,90068,Los Angeles
The Rooster,134,4.0,$$,+14242781839,(424) 278-1839,5818.063409970171,34.05513,-118.38404,90035,Los Angeles
Holy Moly Truck,54,4.0,$,+18185775665,(818) 577-5665,24541.980482234165,34.23462,-118.4969,91343,Los Angeles
Merguez Et Al,35,4.5,$$,+13234237997,(323) 423-7997,9627.652417125457,34.03313,-118.43872,90064,Los Angeles
Lobsterdamus,101,3.5,$$,+12135456412,(213) 545-6412,8272.933806772151,34.031327,-118.239352,90021,Los Angeles
Roll'n Lobster Food Truck,171,3.0,$$,+13106001934,(310) 600-1934,23308.986411227976,33.8629455566406,-118.394996643066,90254,Hermosa Beach
Tacos Super Gallito,273,3.5,$,+13233377424,(323) 337-7424,10714.704719226564,34.0496742,-118.4367951,90025,Los Angeles
The Berlin Truck,91,3.0,$$,+13104647390,(310) 464-7390,4906.111148449467,34.02911,-118.28306,90007,Los Angeles
Comet BBQ,65,4.0,$,+13105718255,(310) 571-8255,1166.136984716173,34.06698,-118.29979,90020,Los Angeles
Flamin Hot Chicken - Food Truck,84,5.0,$,+13237386317,(323) 738-6317,18514.06657422472,34.177396,-118.465885,91411,Van Nuys
Lily's Catering,24,3.5,$,+13235424766,(323) 542-4766,1736.3613074358227,34.0617099,-118.3025318,90010,Los Angeles
North Hollywood Food Truck Collective,6,4.0,$$,,,12727.62956893373,34.1655587673453,-118.37920621849,91601,North Hollywood
Super Tortas DF,157,4.5,$,+13233518379,(323) 351-8379,8340.11667698513,34.0090951,-118.2566828,90011,Los Angeles
Arroy Food Truck,74,4.0,$,+16262275666,(626) 227-5666,2876.005858016202,34.06484,-118.34989,90036,Los Angeles
Los Marcos Catering,1,5.0,$,,,5875.6326504260505,34.0367393493652,-118.265098571777,90015,Los Angeles
Mariella's Tacos,231,4.0,$,+13108003647,(310) 800-3647,14009.411711351799,33.9435850341921,-118.377395044943,90045,Los Angeles
405 Teppanyaki,189,3.5,$$,+18189233261,(818) 923-3261,18436.8866919076,34.1762190194062,-118.466088639472,91411,Van Nuys
Godfather Truck,10,4.5,$$,+18188351165,(818) 835-1165,22017.210862546304,34.2171964255354,-118.469319291358,91367,Woodland Hills
The Ghost Pepper Truck,6,5.0,$,+13109366116,(310) 936-6116,17212.077846233893,34.2133217,-118.3586121,91352,Los Angeles
Drive Thru Pupusas,193,5.0,$,+13232028568,(323) 202-8568,12917.029795266095,34.121082,-118.2009,90042,Los Angeles
Curbside Cravings,72,4.5,$,+18186530877,(818) 653-0877,3906.467990216575,34.06108,-118.27747,90057,Los Angeles
Corn Man,948,4.5,$,+12137882323,(213) 788-2323,9902.711468013575,34.0725774690603,-118.214694509262,90031,Los Angeles
Carnitas El Momo,166,4.5,$,+13236278540,(323) 627-8540,10876.290343850034,34.052,-118.20388,90033,Los Angeles
Tender Grill Gourmet Brazilian Kitchen,117,4.5,$$,+13105917768,(310) 591-7768,12230.19408888862,33.999,-118.43041,90066,Los Angeles
Cemitas Catering,20,4.5,$,+12139094027,(213) 909-4027,8601.743544556673,34.0219177578916,-118.401525264178,90034,Los Angeles
Sus Arepas,55,4.5,$,+12137003976,(213) 700-3976,8401.25953713628,34.0309258,-118.2380432,91204,Glendale
Birrieria Villalobos,154,3.5,$,+13236188129,(323) 618-8129,12104.779980367173,34.040696,-118.192434,90063,Los Angeles
The Middle Feast Food Truck,187,3.5,$$,+18186056317,(818) 605-6317,9408.544786356944,34.09857,-118.41508,90210,Los Angeles
Ave 26 Taco Stand,1554,4.5,$,,,9699.257211035112,34.07967,-118.21837,90031,Los Angeles
Crispy Cuban,69,4.0,$,+12132719381,(213) 271-9381,4894.299837724535,34.044318,-118.272516,90015,Los Angeles
CJ's Wings the Broaster King,79,4.0,$$,+16262969464,(626) 296-9464,5906.486585413189,34.0325272,-118.3750422,90232,Culver City
Go Fusion N Grill,113,4.0,$$,+16613093441,(661) 309-3441,17208.640468229405,34.2132246,-118.3587724,91352,Sun Valley
The Beignet Truck,106,4.5,$,+18887655503,(888) 765-5503,17204.094507014404,34.2131849,-118.3587604,91352,Sun Valley
Gracias Señor!,148,4.5,$,+13233863424,(323) 386-3424,18714.64982834476,34.0454459503403,-118.523584681406,90272,Pacific Palisades
El Matador Taco Truck,179,4.0,$,,,3642.038971736826,34.092781152522,-118.309179705424,90028,Los Angeles
Granada Hills Dinner Food Trucks,122,4.0,$$,,,29158.488370871637,34.2648866155125,-118.521555861282,91344,Granada Hills
Aloha Fridays,2,4.5,$$,+18188553204,(818) 855-3204,12951.082572038258,34.0316827404172,-118.457235507667,90064,Los Angeles
Flaming Lava Grill,21,5.0,$,+18186333013,(818) 633-3013,13202.911624937777,34.1311801224947,-118.43711592257,91403,Los Angeles
Teddy's Red Tacos,848,4.0,$,+13234959654,(323) 495-9654,9706.636930118975,33.9894829,-118.262014,90011,Los Angeles
Street Food Cinema,237,4.5,$$,+13232545068,(323) 254-5068,11045.958823727899,34.1432801,-118.2531191,91205,Glendale
The Griddler Truck,13,4.5,$,+18186364479,(818) 636-4479,7079.830618359903,34.1147313,-118.3637264,90046,Los Angeles
Viva Taco Azteca Original,43,4.5,$,+18182215972,(818) 221-5972,8781.666346886432,34.1254094038924,-118.265204839695,91342,Los Angeles
"Tortas Gigante ""El Chilango""",15,4.5,$$,+13234832047,(323) 483-2047,11036.713740023091,33.9888916,-118.2398376,90058,Los Angeles
Yalla Truck,118,4.0,$,+15625473909,(562) 547-3909,2876.005858016202,34.0664817,-118.3520389,90036,Los Angeles
Bobbieques Red Truck,2,4.0,$,,,10941.103905882073,33.9790535,-118.2566147,90052,Los Angeles
Gowess Food Truck,12,4.0,$,+12136754519,(213) 675-4519,1274.2571158275032,34.06239,-118.30746,90010,Los Angeles
Yeastie Boys,219,3.5,$$,+14808404121,(480) 840-4121,4424.733221753789,34.0990982055664,-118.330963134766,90028,Los Angeles
Angelicas Cemitas Originales,55,4.5,$,+12139094027,(213) 909-4027,8613.395078864443,34.02223,-118.4016,90034,Los Angeles
La Kubanita,10,5.0,$$,+18184646263,(818) 464-6263,2495.0692803508623,34.0734,-118.3444124,90036,Los Angeles
The Fat Queso,72,4.0,$,+13233330513,(323) 333-0513,12305.625781423201,33.97908,-118.25009,90001,Los Angeles
El Taco Gourmet,4,5.0,$,,,3422.2911581369526,34.0625176201804,-118.35851518057,90036,Los Angeles
StopBye Café,71,4.5,$$,+14244565533,(424) 456-5533,8319.774223452625,34.00455,-118.26009,90011,Los Angeles
South Philly Experience,254,3.5,$,+16094641335,(609) 464-1335,4834.60215645382,34.0370227,-118.2782302,90015,Los Angeles
Leo's Tacos Truck,360,4.0,$,+13233462001,(323) 346-2001,5589.304667533686,34.067768,-118.261123,90026,Los Angeles
ACASA Food Truck,268,4.5,$,+18189262975,(818) 926-2975,22241.521862715086,34.1761699,-118.5188949,91316,Encino
Happy Ice,195,4.5,$,+12158003965,(215) 800-3965,3555.9059634708,34.083387,-118.349637,90046,Los Angeles
Ta Bom Truck,176,4.0,$,+13239027591,(323) 902-7591,3142.3852114775577,34.0480743054621,-118.351336928125,90019,Los Angeles
Birrieria Gonzalez,314,4.0,$,+13234907172,(323) 490-7172,16309.196069786301,34.01903,-118.15195,90022,East Los Angeles
Burritos Sahuayo,30,4.5,$,+13238073336,(323) 807-3336,1700.2136281157545,34.07307,-118.309189,90189,Los Angeles
Teddy’s Red Tacos,61,4.0,$,,,6622.444259344888,34.0665737048528,-118.249739639016,90012,Los Angeles
Mariscos El Bigoton,189,4.0,$$,+13233574269,(323) 357-4269,16308.981220835987,34.019035,-118.151955,90022,Los Angeles
Lettuce Feast,182,4.0,$$,+14242613659,(424) 261-3659,12305.625781423201,33.97853,-118.2497,90001,Los Angeles
El Shuko,10,4.5,$,+17029277625,(702) 927-7625,8319.774223452625,34.0074920654297,-118.258743286133,90011,Los Angeles
Super Smash Buns,76,4.0,$$,+12137877585,(213) 787-7585,4316.904109680302,34.099895,-118.329008,90028,Los Angeles
El Flamin' Taco - Los Angeles,26,3.5,$,+12139253812,(213) 925-3812,4030.5940553146415,34.0977699068154,-118.324053748902,90028,Los Angeles
Bang Bang Noodles,88,4.0,$$,,,12531.166904689231,34.120994,-118.2057397,90042,Los Angeles
Food Truck Haven,3,3.5,$,+12136221261,(213) 622-1261,7876.53556195315,34.0466057,-118.2378178,90013,Los Angeles
The Fix on Wheels,81,4.5,$$,+13233255573,(323) 325-5573,4906.111148449467,34.02911,-118.28306,90007,Los Angeles
Nashville Hot Chicken,51,4.0,$$,+13239290677,(323) 929-0677,5173.007941193443,34.105918,-118.337921,90068,Hollywood
Taco Zone,670,4.5,$,,,5915.086288492655,34.0807756721835,-118.261483535171,90026,Los Angeles
Adrians Taco Trailer,45,4.5,$,+13237153735,(323) 715-3735,8884.58028399605,34.0317476,-118.2319277,90021,Los Angeles
Juan23 Food Truck,18,4.5,$,+13232025701,(323) 202-5701,8661.494517196104,34.13376,-118.3567745,90068,Los Angeles
LA - Donut Truck,26,4.0,$,+13239292253,(323) 929-2253,4555.956758987211,34.0936995555611,-118.352107233767,90009,Los Angeles
Belly BombZ Wings Truck & Catering,134,3.0,$$,+18183051865,(818) 305-1865,6202.541303529054,34.0523262023926,-118.255508422852,90071,Los Angeles
Tanota Takoyaki,240,3.5,$,+12136260481,(213) 626-0481,7644.057621121172,34.074348449707,-118.21558380127,90012,Los Angeles
Mangia Italian Ristorante on Wheels,53,3.5,$,+15624001946,(562) 400-1946,5285.093631999208,34.0418495983495,-118.269195556641,90015,Los Angeles
Last Call Tacos,19,5.0,$,+13232182327,(323) 218-2327,4074.5471515769796,34.0838,-118.2737,90026,Los Angeles
Paja Empanadas,2,4.5,$,+16269913000,(626) 991-3000,5301.166239163151,34.046254089225,-118.266896385371,90015,Los Angeles
Let's Thai Food Truck,50,3.5,$$,+15623249683,(562) 324-9683,10873.586508385239,34.0621074332531,-118.203341859405,90210,Bell Gardens
Daniel's Food Truck,11,3.5,$,+13233176579,(323) 317-6579,1869.4604386745207,34.0616415015793,-118.30108646422,90010,Los Angeles
NoMad Food Truck,23,3.5,$$,,,1878.8445269277697,34.0621299743652,-118.300994873047,90010,Los Angeles
Maria's 'Catering' Taco Truck,17,4.0,$,+13234957669,(323) 495-7669,1321.8399188443752,34.0576679061626,-118.307836895208,90005,Los Angeles
Gateway to Go Food Truck Lot,27,3.5,$$,,,14189.500984347575,33.9468517158164,-118.388753040475,90045,Los Angeles
El Paladar Oaxaqueno Taco Truck,176,4.0,$,+13106910138,(310) 691-0138,12490.182080636077,34.044082,-118.455299,90025,Los Angeles
Tacos El Gordo,56,3.0,$,,,13647.668820552597,33.9415968616112,-118.35251056165,90301,Inglewood
Mariscos El Guero Taco Truck & Seafood,60,4.5,$,+13233334740,(323) 333-4740,13011.602914386342,33.9596504070305,-118.390694095245,90045,Los Angeles
Marcel Food Truck,52,4.0,$,,,8401.25953713628,34.0334053039551,-118.244918823242,90021,Los Angeles
Marisco El Jato Truck,29,3.5,$,,,15273.815558463459,34.0174779947591,-118.164396286011,90022,Los Angeles
Chinese Laundry,60,4.0,$,+16198656807,(619) 865-6807,7150.1508192250685,34.06757,-118.24115,90012,Los Angeles
El Taco Toro,157,5.0,$,+14244143255,(424) 414-3255,11430.478910630822,33.99371,-118.41466,90230,Los Angeles
Mr V's Cheesesteak On Wheels,40,4.0,$,+13232067738,(323) 206-7738,5636.419355831916,34.038923,-118.266659,90014,Los Angeles
Primo's Antojitos Mexicanos,53,5.0,$,+13234019847,(323) 401-9847,10310.357046902554,34.0446119,-118.211358,90033,Los Angeles
Woody's Grill Truck,89,3.5,$$,+13104379095,(310) 437-9095,12344.888154732664,34.1638342,-118.3736328,91601,North Hollywood
Swami's Sandwiches Food Truck,74,4.5,$$,+13235107123,(323) 510-7123,6632.186047077615,34.0630308941709,-118.249404217752,90015,Los Angeles
Ladies Night Out,9,5.0,$,,,12134.113529161543,34.1690903,-118.3442307,91505,Burbank
El Milagro,43,4.5,$,+13234235566,(323) 423-5566,9079.118737023136,34.0774040222168,-118.224678039551,90031,Los Angeles
Joe's Pizza Truck,22,4.0,$,+13236564800,(323) 656-4800,4584.01045199301,34.1019294,-118.3311749,90028,Hollywood
The Friday Night Holy Roller Food Truck Revival,4,3.5,$$,,,10975.308193120969,34.0592818535367,-118.440490732977,90024,Los Angeles
Bison Burger,64,4.0,$$,+13234062303,(323) 406-2303,10402.494820890166,34.0236705,-118.2180793,90023,Los Angeles
Chomp Chomp Food Truck,53,5.0,$$,+18187325393,(818) 732-5393,11643.218501593854,34.151853,-118.2572827,91203,Glendale
Slanging Corea,218,4.5,$,,,12428.113760631226,34.1646703,-118.3735643,91601,North hollywood
Churro Boss,213,4.5,$,+12136182585,(213) 618-2585,17291.466082349496,34.064898,-118.133709,91754,Monterey Park 
Plant Food For People,178,4.5,$,,,13743.900882970853,34.1092338562012,-118.196769714355,90042,Los Angeles
Tacos Los Reyes,40,4.0,$,+13103079110,(310) 307-9110,1509.4746926120017,34.052661,-118.309038,90019,Los Angeles
Made In Brooklyn NY Pizza Truck,120,3.5,$,+18444074992,(844) 407-4992,5580.8995529348895,34.0387725830078,-118.26114654541,90015,Los Angeles
Habibi Shack Food Truck,27,4.5,$$,+16266588642,(626) 658-8642,4964.923274456955,34.097817,-118.2898677,90027,Los Angeles
Buddha Belly,115,4.0,$$,+16264938445,(626) 493-8445,6638.25792684683,34.0438200280931,-118.252910894549,90015,Los Angeles
Pickles & Peas Mediterranean Harvest,35,4.5,$$,+12137062555,(213) 706-2555,9822.686217219161,33.98868,-118.2612,90011,Los Angeles
Tacos El Venado,398,4.0,$,+13239448320,(323) 944-8320,15203.106841129698,34.186612,-118.388237,91606,North Hollywood
Birrieria San Marcos,100,4.0,$,+17472063989,(747) 206-3989,23849.199029940744,34.227452,-118.485642,91343,Los Angeles
El Flamin' Taco,50,4.0,$,+12139253002,(213) 925-3002,8671.240092027518,34.12462,-118.2657,90039,Los Angeles
Oaxaca on Wheels,46,3.5,$,+13238053028,(323) 805-3028,13179.204175131508,34.0413907,-118.46234,90016,Los Angeles
Tacos El Güerro,77,4.5,$,+13237073929,(323) 707-3929,15932.502214719685,34.012313,-118.1590196,90023,Los Angeles
The Pointe-Food Truck Triangle,2,4.0,$$,+16267825562,(626) 782-5562,10585.450721575506,34.156474,-118.330695,91505,Burbank
Cemitas Poblanas,47,4.0,$,+19092361797,(909) 236-1797,10745.597132728511,34.036758,-118.434098,90064,Los Angeles
La Isla Bonita,273,4.5,$,+13106998575,(310) 699-8575,15865.099699744324,33.9974577143316,-118.475170098245,90291,Venice
Love Bird,72,4.5,$$,+18183093381,(818) 309-3381,14331.750653749592,34.032096862793,-118.472816467285,90404,Santa Monica
Pink Taco Truck,30,3.5,$$,+13233807474,(323) 380-7474,5306.204267113658,34.0216598510742,-118.28751373291,90089,Los Angeles
Tacos & Tamales,7,4.5,$,+12134446709,(213) 444-6709,4729.601435118041,34.0521354675293,-118.371482849121,90035,Los Angeles
Fettes Schwein Food Truck,28,4.5,$,+13235611675,(323) 561-1675,14515.944272674924,34.0053558349609,-118.479789733887,90405,Santa Monica
Me So Hungry Truck,268,3.5,$$,+13103630946,(310) 363-0946,12305.625781423201,33.9788284301758,-118.249931335449,90001,Los Angeles
Pho King Awesome Food Truck,28,4.0,$$,+15622927812,(562) 292-7812,9627.652417125457,34.03313,-118.43872,90064,Los Angeles
Pinch Of Flavor,116,4.0,$,+12138805513,(213) 880-5513,14515.944272674924,34.0053558349609,-118.479789733887,90405,Santa Monica
Truck It Fest,24,3.5,$$,+12139738078,(213) 973-8078,6978.63487596806,34.0504115,-118.2466356,90012,Los Angeles
El Tauro Taco,244,4.0,$,+12133931170,(213) 393-1170,1151.448623926047,34.06169,-118.31117,90010,Los Angeles
Wicked Fish Tacos,89,4.0,$,+13103435579,(310) 343-5579,15516.301835477236,33.9220713,-118.3244604,90250,Hawthorne
Crispy Hot Pancake,42,4.5,$,+19096308002,(909) 630-8002,7841.179723055484,34.0449002793145,-118.238685764372,90013,Los Angeles
Zugo Liquitarian Truck,33,4.5,$$,+13107206700,(310) 720-6700,4334.582915216886,34.09996,-118.32625,90027,Los Angeles
Takuma's Burger,79,4.5,$,+12138649305,(213) 864-9305,6098.256985472968,34.0924164,-118.2666178,90026,Los Angeles
Sonoritas Prime Tacos,1165,4.0,$$,+13104449100,(310) 444-9100,11466.19898658976,34.04093,-118.44328,90025,Los Angeles
Los Originales Tacos Arabes de Puebla,110,4.5,$,+12134530193,(213) 453-0193,12038.28724172106,34.019054,-118.201236,90023,Los Angeles
White Rabbit Truck,628,3.5,$,+18889072248,(888) 907-2248,7150.1508192250685,34.0569114685059,-118.243949890137,90012,Los Angeles
Border Grill,264,3.5,$,+12135421102,(213) 542-1102,6202.541303529054,34.0523262023926,-118.255508422852,90071,Los Angeles
Angelica's Mexican Food,20,3.5,$,+13237322554,(323) 732-2554,1273.3145463721794,34.065359,-118.308328,90020,Los Angeles
Humble Crust Pizza Truck,91,4.5,$$,+12137441111,(213) 744-1111,2941.2851290187855,34.0477275,-118.3485724,90019,Los Angeles
BrewWings,229,3.5,$$,+15623538999,(562) 353-8999,7150.1508192250685,34.05814,-118.24666,90012,Los Angeles
Royal Kebab,6,4.5,$$,+18186798099,(818) 679-8099,10846.83266866932,34.0618522,-118.2034537,90033,Los Angeles
Mastermind,8,3.0,$$,+16268072332,(626) 807-2332,10721.842983820758,34.0625504041905,-118.205040356745,90033,Los Angeles
Tacos Palacios,143,4.5,$,+13235040881,(323) 504-0881,10691.412550401672,34.151939,-118.361105,91602,Toluca lake
Tacos Maggie,98,4.5,$,+16573351697,(657) 335-1697,36578.32050684501,33.869912550386,-117.999107010913,90621,Buena Park
Pepe's Taco Truck,8,3.5,$,,,3719.6761058615366,34.032706,-118.341747,90016,Los Angeles
Belly BombZ,26,3.5,$$,+18183051865,(818) 305-1865,28797.49834174534,33.802948,-118.305371,90710,Los Angeles
Cemitas Tepeaca,19,4.5,$,,,11965.103779500661,34.02672,-118.19854,90023,Los Angeles
Asadero Chikali,170,4.0,$,+13233142666,(323) 314-2666,15749.910745881347,34.02938,-118.15485,90022,Los Angeles
Zema,34,3.5,$$,,,7257.213668457993,34.0521869093457,-118.243424892426,90024,Los Angeles
Occasion Food Truck,15,4.5,$$,+19099658839,(909) 965-8839,7150.1508192250685,34.05814,-118.24666,90012,Los Angeles
Cena Vegan,343,4.5,$,+13232508965,(323) 250-8965,9678.80377380471,34.079132,-118.218456,90031,Los Angeles
Churros Don Abel,695,5.0,$,+15626125991,(562) 612-5991,16311.747531106907,34.019058270168,-118.151953895106,90022,East Los Angeles
Los Jardineros,2,5.0,$$,,,10761.616093842384,34.0966339,-118.4301224,90210,Beverly Hills
The Churro Man,81,5.0,$,+18186001163,(818) 600-1163,23802.59694515386,34.2481903,-118.4481374,91331,Arleta
Birrieria Villalobos,52,3.5,$,+13236188129,(323) 618-8129,18418.3916488125,34.1765248,-118.4654557,91411,Van Nuys
Primo's Taqueria,6,5.0,$,,,9775.051117641036,34.0640114834865,-118.215304665715,90031,Los Angeles
Birria De Res La Tia Juana,23,4.0,$,+12139859778,(213) 985-9778,11862.41730347745,33.97477,-118.246586,90001,Los Angeles
Downtown Taco Co,79,3.0,$$,+12136283091,(213) 628-3091,7888.116353148187,34.0462884820118,-118.237773,90012,Los Angeles
