,name,review_count,rating,price,phone,display_phone,distance,lat,lng,zipcode,city,Median Home Value,Median Household Income,Population Density
0,Roaming Hunger,124,4.0,$$,+18005689370,(800) 568-9370,5878.96743188699,34.097384,-118.3683601,90046,West Hollywood,873100.0,52641.0,8405.0
1,Prince of Venice Food Truck,65,4.0,$$,+13106145443,(310) 614-5443,9627.652417125457,34.03313,-118.43872,90064,Los Angeles,904200.0,84579.0,6350.0
2,Sam's Gourmet,30,4.0,$,+13234858521,(323) 485-8521,10179.680437677434,34.0498352050781,-118.212745666504,90033,Los Angeles,291100.0,28005.0,14954.0
3,German's Catering Truck,41,5.0,$,+12138045854,(213) 804-5854,6263.058532380659,34.0107616343037,-118.292093033503,90037,Los Angeles,271400.0,26796.0,21941.0
4,L.A Autentica Birrieria,120,5.0,$,+13236900987,(323) 690-0987,14746.067220052508,34.1871511,-118.3729288,91606,North Hollywood,363400.0,42521.0,13491.0
5,Food-Truck Man,4,4.0,$$,+12029996689,(202) 999-6689,5015.472014257716,34.0255999177578,-118.288377484881,90007,Los Angeles,388900.0,22420.0,16593.0
6,The Carnival Truck,10,4.0,$,+12133799873,(213) 379-9873,11561.907223698638,34.17144,-118.28592,91201,Los Angeles,615300.0,50107.0,9647.0
7,Street Kitchen,223,4.0,$$,+13235162808,(323) 516-2808,4424.733221753789,34.0998,-118.32648,90028,Hollywood,593900.0,30953.0,18838.0
8,The Garbage Truck,79,3.5,$,+14242350089,(424) 235-0089,12305.625781423201,33.97908,-118.25009,90001,Los Angeles,249600.0,35097.0,16306.0
9,Mariscos Jalisco,134,4.5,$,+13233091622,(323) 309-1622,7316.322833174429,34.0340039972124,-118.249286006082,90021,Los Angeles,444000.0,13415.0,1908.0
10,Kings Wings,126,4.5,$$,+18054569336,(805) 456-9336,4451.799222490807,34.1010193,-118.3297611,90028,Hollywood,593900.0,30953.0,18838.0
11,WAFL Truck,91,4.0,$,+13238988799,(323) 898-8799,2876.005858016202,34.0690002441406,-118.350242614746,90036,Los Angeles,945000.0,71589.0,14922.0
12,Mad Pambazos,33,4.5,$,+17037987268,(703) 798-7268,12305.625781423201,33.9788284301758,-118.249931335449,90001,Los Angeles,249600.0,35097.0,16306.0
13,Amazebowls,178,4.5,$,+13236400973,(323) 640-0973,5860.203092103404,34.041488,-118.2625804,90015,Los Angeles,429100.0,27393.0,11100.0
14,Okamoto Kitchen,516,4.0,$$,+18183739767,(818) 373-9767,13433.364841204091,34.1463062227897,-118.425396788406,91423,Los Angeles,755300.0,74011.0,7103.0
15,Los Tacos Acosta,7,4.5,$,,,13844.717220136166,33.9546,-118.3982047,90045,Los Angeles,661700.0,77893.0,3681.0
16,Postcards Central American Soul Food,128,4.5,$$,+13108010441,(310) 801-0441,5580.8995529348895,34.0387725830078,-118.26114654541,90015,Los Angeles,429100.0,27393.0,11100.0
17,La Troca Catracha,12,4.5,$,+13237402228,(323) 740-2228,1816.3497991377328,34.06099,-118.30167,90010,Los Angeles,514300.0,51359.0,8309.0
18,All Flavor No Grease,269,4.0,$$,+13233180409,(323) 318-0409,14790.545166477243,33.93804,-118.26194,90059,Los Angeles,221500.0,33962.0,12359.0
19,Aji Teppanyaki,43,4.0,$$,+18185156778,(818) 515-6778,29459.98713370618,34.3097432,-118.4335721,91601,Los Angeles,464200.0,48638.0,14028.0
20,Chiquis Taco Truck,60,4.5,$,+13239078108,(323) 907-8108,3292.4532026432244,34.0908937443473,-118.326503147299,90038,Los Angeles,525800.0,35144.0,18460.0
21,KTOWN Night Market,174,3.0,$$,+14242449789,(424) 244-9789,2272.0039764952917,34.0598891,-118.2968023,90005,Los Angeles,633600.0,31893.0,34761.0
22,The Food Truck Lot,6,4.0,$$,,,16374.48250178989,34.0020259,-118.4838472,90405,Santa Monica,1000001.0,75717.0,10272.0
23,B Sweet Dessert Truck,40,4.0,$,+13109639769,(310) 963-9769,7357.287967300945,34.0290045,-118.3908787,90034,Los Angeles,637100.0,56946.0,18621.0
24,Mariscos Michoacan,14,4.0,$,,,2716.133293686045,34.0653498099349,-118.292245989163,90020,Los Angeles,511800.0,38510.0,34475.0
25,Billionaire Burger Boyz,293,4.0,$$,+13105544116,(310) 554-4116,21845.514330272195,33.8893305,-118.2074657,90221,Compton,237100.0,42853.0,10072.0
26,The Triple Threat Truck,149,3.5,$,+13235076404,(323) 507-6404,20866.501744402678,34.1580543518066,-118.512672424316,91316,Los Angeles,487700.0,59199.0,5372.0
27,Tokyo Style Food Truck and Catering,186,4.5,$$,+13105916226,(310) 591-6226,12305.625781423201,33.97363,-118.24989,90001,Los Angeles,249600.0,35097.0,16306.0
28,Kuushi Sushi,10,4.0,$$,+18189008589,(818) 900-8589,3463.4487568402233,34.06372,-118.35689,90036,Los Angeles,945000.0,71589.0,14922.0
29,Baby's Badass Burgers,725,4.0,$$,+18779622297,(877) 962-2297,6311.81210658909,34.08841,-118.37783,90069,Los Angeles,696700.0,75451.0,9688.0
30,Kogi BBQ Truck - Azul,2054,3.5,$,+13233150253,(323) 315-0253,7193.980371228938,34.10097,-118.29842,90027,Los Angeles,793200.0,47993.0,5464.0
31,Hollywood Night Market,199,4.0,$$,+13234334805,(323) 433-4805,5280.308244503628,34.1058627501024,-118.342114999944,90068,Los Angeles,952100.0,67500.0,2925.0
32,The Rooster,134,4.0,$$,+14242781839,(424) 278-1839,5818.063409970171,34.05513,-118.38404,90035,Los Angeles,842500.0,75863.0,13808.0
33,Holy Moly Truck,54,4.0,$,+18185775665,(818) 577-5665,24541.980482234165,34.23462,-118.4969,91343,Los Angeles,380400.0,54166.0,10193.0
34,Merguez Et Al,35,4.5,$$,+13234237997,(323) 423-7997,9627.652417125457,34.03313,-118.43872,90064,Los Angeles,904200.0,84579.0,6350.0
35,Lobsterdamus,101,3.5,$$,+12135456412,(213) 545-6412,8272.933806772151,34.031327,-118.239352,90021,Los Angeles,444000.0,13415.0,1908.0
36,Roll'n Lobster Food Truck,171,3.0,$$,+13106001934,(310) 600-1934,23308.986411227976,33.8629455566406,-118.394996643066,90254,Hermosa Beach,1000001.0,101655.0,13665.0
37,Tacos Super Gallito,273,3.5,$,+13233377424,(323) 337-7424,10714.704719226564,34.0496742,-118.4367951,90025,Los Angeles,669100.0,73478.0,16402.0
38,The Berlin Truck,91,3.0,$$,+13104647390,(310) 464-7390,4906.111148449467,34.02911,-118.28306,90007,Los Angeles,388900.0,22420.0,16593.0
39,Comet BBQ,65,4.0,$,+13105718255,(310) 571-8255,1166.136984716173,34.06698,-118.29979,90020,Los Angeles,511800.0,38510.0,34475.0
40,Flamin Hot Chicken - Food Truck,84,5.0,$,+13237386317,(323) 738-6317,18514.06657422472,34.177396,-118.465885,91411,Van Nuys,456400.0,44570.0,12059.0
41,Lily's Catering,24,3.5,$,+13235424766,(323) 542-4766,1736.3613074358227,34.0617099,-118.3025318,90010,Los Angeles,514300.0,51359.0,8309.0
42,North Hollywood Food Truck Collective,6,4.0,$$,,,12727.62956893373,34.1655587673453,-118.37920621849,91601,North Hollywood,464200.0,48638.0,14028.0
43,Super Tortas DF,157,4.5,$,+13233518379,(323) 351-8379,8340.11667698513,34.0090951,-118.2566828,90011,Los Angeles,269300.0,30171.0,24240.0
44,Arroy Food Truck,74,4.0,$,+16262275666,(626) 227-5666,2876.005858016202,34.06484,-118.34989,90036,Los Angeles,945000.0,71589.0,14922.0
45,Los Marcos Catering,1,5.0,$,,,5875.6326504260505,34.0367393493652,-118.265098571777,90015,Los Angeles,429100.0,27393.0,11100.0
46,Mariella's Tacos,231,4.0,$,+13108003647,(310) 800-3647,14009.411711351799,33.9435850341921,-118.377395044943,90045,Los Angeles,661700.0,77893.0,3681.0
47,405 Teppanyaki,189,3.5,$$,+18189233261,(818) 923-3261,18436.8866919076,34.1762190194062,-118.466088639472,91411,Van Nuys,456400.0,44570.0,12059.0
48,Godfather Truck,10,4.5,$$,+18188351165,(818) 835-1165,22017.210862546304,34.2171964255354,-118.469319291358,91367,Woodland Hills,552000.0,76548.0,5308.0
49,The Ghost Pepper Truck,6,5.0,$,+13109366116,(310) 936-6116,17212.077846233893,34.2133217,-118.3586121,91352,Los Angeles,338300.0,48844.0,4097.0
50,Drive Thru Pupusas,193,5.0,$,+13232028568,(323) 202-8568,12917.029795266095,34.121082,-118.2009,90042,Los Angeles,382100.0,50996.0,13444.0
51,Curbside Cravings,72,4.5,$,+18186530877,(818) 653-0877,3906.467990216575,34.06108,-118.27747,90057,Los Angeles,282600.0,28035.0,50810.0
52,Corn Man,948,4.5,$,+12137882323,(213) 788-2323,9902.711468013575,34.0725774690603,-118.214694509262,90031,Los Angeles,340500.0,34655.0,11383.0
53,Carnitas El Momo,166,4.5,$,+13236278540,(323) 627-8540,10876.290343850034,34.052,-118.20388,90033,Los Angeles,291100.0,28005.0,14954.0
54,Tender Grill Gourmet Brazilian Kitchen,117,4.5,$$,+13105917768,(310) 591-7768,12230.19408888862,33.999,-118.43041,90066,Los Angeles,727800.0,66744.0,11231.0
55,Cemitas Catering,20,4.5,$,+12139094027,(213) 909-4027,8601.743544556673,34.0219177578916,-118.401525264178,90034,Los Angeles,637100.0,56946.0,18621.0
56,Sus Arepas,55,4.5,$,+12137003976,(213) 700-3976,8401.25953713628,34.0309258,-118.2380432,91204,Glendale,386100.0,37634.0,14263.0
57,Birrieria Villalobos,154,3.5,$,+13236188129,(323) 618-8129,12104.779980367173,34.040696,-118.192434,90063,Los Angeles,273400.0,38441.0,17038.0
58,The Middle Feast Food Truck,187,3.5,$$,+18186056317,(818) 605-6317,9408.544786356944,34.09857,-118.41508,90210,Los Angeles,1000001.0,132254.0,2147.0
59,Ave 26 Taco Stand,1554,4.5,$,,,9699.257211035112,34.07967,-118.21837,90031,Los Angeles,340500.0,34655.0,11383.0
60,Crispy Cuban,69,4.0,$,+12132719381,(213) 271-9381,4894.299837724535,34.044318,-118.272516,90015,Los Angeles,429100.0,27393.0,11100.0
61,CJ's Wings the Broaster King,79,4.0,$$,+16262969464,(626) 296-9464,5906.486585413189,34.0325272,-118.3750422,90232,Culver City,722200.0,73103.0,7193.0
62,Go Fusion N Grill,113,4.0,$$,+16613093441,(661) 309-3441,17208.640468229405,34.2132246,-118.3587724,91352,Sun Valley,338300.0,48844.0,4097.0
63,The Beignet Truck,106,4.5,$,+18887655503,(888) 765-5503,17204.094507014404,34.2131849,-118.3587604,91352,Sun Valley,338300.0,48844.0,4097.0
64,Gracias Señor!,148,4.5,$,+13233863424,(323) 386-3424,18714.64982834476,34.0454459503403,-118.523584681406,90272,Pacific Palisades,1000001.0,159696.0,1007.0
65,El Matador Taco Truck,179,4.0,$,,,3642.038971736826,34.092781152522,-118.309179705424,90028,Los Angeles,593900.0,30953.0,18838.0
66,Granada Hills Dinner Food Trucks,122,4.0,$$,,,29158.488370871637,34.2648866155125,-118.521555861282,91344,Granada Hills,449600.0,77604.0,3153.0
67,Aloha Fridays,2,4.5,$$,+18188553204,(818) 855-3204,12951.082572038258,34.0316827404172,-118.457235507667,90064,Los Angeles,904200.0,84579.0,6350.0
68,Flaming Lava Grill,21,5.0,$,+18186333013,(818) 633-3013,13202.911624937777,34.1311801224947,-118.43711592257,91403,Los Angeles,740200.0,69956.0,6467.0
69,Teddy's Red Tacos,848,4.0,$,+13234959654,(323) 495-9654,9706.636930118975,33.9894829,-118.262014,90011,Los Angeles,269300.0,30171.0,24240.0
70,Street Food Cinema,237,4.5,$$,+13232545068,(323) 254-5068,11045.958823727899,34.1432801,-118.2531191,91205,Glendale,458300.0,36906.0,19995.0
71,The Griddler Truck,13,4.5,$,+18186364479,(818) 636-4479,7079.830618359903,34.1147313,-118.3637264,90046,Los Angeles,873100.0,52641.0,8405.0
72,Viva Taco Azteca Original,43,4.5,$,+18182215972,(818) 221-5972,8781.666346886432,34.1254094038924,-118.265204839695,91342,Los Angeles,322400.0,59329.0,1665.0
73,"Tortas Gigante ""El Chilango""",15,4.5,$$,+13234832047,(323) 483-2047,11036.713740023091,33.9888916,-118.2398376,90058,Los Angeles,191100.0,16750.0,555.0
74,Yalla Truck,118,4.0,$,+15625473909,(562) 547-3909,2876.005858016202,34.0664817,-118.3520389,90036,Los Angeles,945000.0,71589.0,14922.0
76,Gowess Food Truck,12,4.0,$,+12136754519,(213) 675-4519,1274.2571158275032,34.06239,-118.30746,90010,Los Angeles,514300.0,51359.0,8309.0
77,Yeastie Boys,219,3.5,$$,+14808404121,(480) 840-4121,4424.733221753789,34.0990982055664,-118.330963134766,90028,Los Angeles,593900.0,30953.0,18838.0
78,Angelicas Cemitas Originales,55,4.5,$,+12139094027,(213) 909-4027,8613.395078864443,34.02223,-118.4016,90034,Los Angeles,637100.0,56946.0,18621.0
79,La Kubanita,10,5.0,$$,+18184646263,(818) 464-6263,2495.0692803508623,34.0734,-118.3444124,90036,Los Angeles,945000.0,71589.0,14922.0
80,The Fat Queso,72,4.0,$,+13233330513,(323) 333-0513,12305.625781423201,33.97908,-118.25009,90001,Los Angeles,249600.0,35097.0,16306.0
81,El Taco Gourmet,4,5.0,$,,,3422.2911581369526,34.0625176201804,-118.35851518057,90036,Los Angeles,945000.0,71589.0,14922.0
82,StopBye Café,71,4.5,$$,+14244565533,(424) 456-5533,8319.774223452625,34.00455,-118.26009,90011,Los Angeles,269300.0,30171.0,24240.0
83,South Philly Experience,254,3.5,$,+16094641335,(609) 464-1335,4834.60215645382,34.0370227,-118.2782302,90015,Los Angeles,429100.0,27393.0,11100.0
84,Leo's Tacos Truck,360,4.0,$,+13233462001,(323) 346-2001,5589.304667533686,34.067768,-118.261123,90026,Los Angeles,551500.0,44327.0,16063.0
85,ACASA Food Truck,268,4.5,$,+18189262975,(818) 926-2975,22241.521862715086,34.1761699,-118.5188949,91316,Encino,487700.0,59199.0,5372.0
86,Happy Ice,195,4.5,$,+12158003965,(215) 800-3965,3555.9059634708,34.083387,-118.349637,90046,Los Angeles,873100.0,52641.0,8405.0
87,Ta Bom Truck,176,4.0,$,+13239027591,(323) 902-7591,3142.3852114775577,34.0480743054621,-118.351336928125,90019,Los Angeles,617300.0,42043.0,16578.0
88,Birrieria Gonzalez,314,4.0,$,+13234907172,(323) 490-7172,16309.196069786301,34.01903,-118.15195,90022,East Los Angeles,294800.0,38925.0,15334.0
90,Teddy’s Red Tacos,61,4.0,$,,,6622.444259344888,34.0665737048528,-118.249739639016,90012,Los Angeles,394500.0,28879.0,9618.0
91,Mariscos El Bigoton,189,4.0,$$,+13233574269,(323) 357-4269,16308.981220835987,34.019035,-118.151955,90022,Los Angeles,294800.0,38925.0,15334.0
92,Lettuce Feast,182,4.0,$$,+14242613659,(424) 261-3659,12305.625781423201,33.97853,-118.2497,90001,Los Angeles,249600.0,35097.0,16306.0
93,El Shuko,10,4.5,$,+17029277625,(702) 927-7625,8319.774223452625,34.0074920654297,-118.258743286133,90011,Los Angeles,269300.0,30171.0,24240.0
94,Super Smash Buns,76,4.0,$$,+12137877585,(213) 787-7585,4316.904109680302,34.099895,-118.329008,90028,Los Angeles,593900.0,30953.0,18838.0
95,El Flamin' Taco - Los Angeles,26,3.5,$,+12139253812,(213) 925-3812,4030.5940553146415,34.0977699068154,-118.324053748902,90028,Los Angeles,593900.0,30953.0,18838.0
96,Bang Bang Noodles,88,4.0,$$,,,12531.166904689231,34.120994,-118.2057397,90042,Los Angeles,382100.0,50996.0,13444.0
97,Food Truck Haven,3,3.5,$,+12136221261,(213) 622-1261,7876.53556195315,34.0466057,-118.2378178,90013,Los Angeles,312200.0,20271.0,17546.0
98,The Fix on Wheels,81,4.5,$$,+13233255573,(323) 325-5573,4906.111148449467,34.02911,-118.28306,90007,Los Angeles,388900.0,22420.0,16593.0
99,Nashville Hot Chicken,51,4.0,$$,+13239290677,(323) 929-0677,5173.007941193443,34.105918,-118.337921,90068,Hollywood,952100.0,67500.0,2925.0
100,Taco Zone,670,4.5,$,,,5915.086288492655,34.0807756721835,-118.261483535171,90026,Los Angeles,551500.0,44327.0,16063.0
101,Adrians Taco Trailer,45,4.5,$,+13237153735,(323) 715-3735,8884.58028399605,34.0317476,-118.2319277,90021,Los Angeles,444000.0,13415.0,1908.0
102,Juan23 Food Truck,18,4.5,$,+13232025701,(323) 202-5701,8661.494517196104,34.13376,-118.3567745,90068,Los Angeles,952100.0,67500.0,2925.0
105,Tanota Takoyaki,240,3.5,$,+12136260481,(213) 626-0481,7644.057621121172,34.074348449707,-118.21558380127,90012,Los Angeles,394500.0,28879.0,9618.0
106,Mangia Italian Ristorante on Wheels,53,3.5,$,+15624001946,(562) 400-1946,5285.093631999208,34.0418495983495,-118.269195556641,90015,Los Angeles,429100.0,27393.0,11100.0
107,Last Call Tacos,19,5.0,$,+13232182327,(323) 218-2327,4074.5471515769796,34.0838,-118.2737,90026,Los Angeles,551500.0,44327.0,16063.0
108,Paja Empanadas,2,4.5,$,+16269913000,(626) 991-3000,5301.166239163151,34.046254089225,-118.266896385371,90015,Los Angeles,429100.0,27393.0,11100.0
109,Let's Thai Food Truck,50,3.5,$$,+15623249683,(562) 324-9683,10873.586508385239,34.0621074332531,-118.203341859405,90210,Bell Gardens,1000001.0,132254.0,2147.0
110,Daniel's Food Truck,11,3.5,$,+13233176579,(323) 317-6579,1869.4604386745207,34.0616415015793,-118.30108646422,90010,Los Angeles,514300.0,51359.0,8309.0
111,NoMad Food Truck,23,3.5,$$,,,1878.8445269277697,34.0621299743652,-118.300994873047,90010,Los Angeles,514300.0,51359.0,8309.0
112,Maria's 'Catering' Taco Truck,17,4.0,$,+13234957669,(323) 495-7669,1321.8399188443752,34.0576679061626,-118.307836895208,90005,Los Angeles,633600.0,31893.0,34761.0
113,Gateway to Go Food Truck Lot,27,3.5,$$,,,14189.500984347575,33.9468517158164,-118.388753040475,90045,Los Angeles,661700.0,77893.0,3681.0
114,El Paladar Oaxaqueno Taco Truck,176,4.0,$,+13106910138,(310) 691-0138,12490.182080636077,34.044082,-118.455299,90025,Los Angeles,669100.0,73478.0,16402.0
115,Tacos El Gordo,56,3.0,$,,,13647.668820552597,33.9415968616112,-118.35251056165,90301,Inglewood,280800.0,38160.0,14760.0
116,Mariscos El Guero Taco Truck & Seafood,60,4.5,$,+13233334740,(323) 333-4740,13011.602914386342,33.9596504070305,-118.390694095245,90045,Los Angeles,661700.0,77893.0,3681.0
117,Marcel Food Truck,52,4.0,$,,,8401.25953713628,34.0334053039551,-118.244918823242,90021,Los Angeles,444000.0,13415.0,1908.0
118,Marisco El Jato Truck,29,3.5,$,,,15273.815558463459,34.0174779947591,-118.164396286011,90022,Los Angeles,294800.0,38925.0,15334.0
119,Chinese Laundry,60,4.0,$,+16198656807,(619) 865-6807,7150.1508192250685,34.06757,-118.24115,90012,Los Angeles,394500.0,28879.0,9618.0
120,El Taco Toro,157,5.0,$,+14244143255,(424) 414-3255,11430.478910630822,33.99371,-118.41466,90230,Los Angeles,556700.0,71235.0,7048.0
121,Mr V's Cheesesteak On Wheels,40,4.0,$,+13232067738,(323) 206-7738,5636.419355831916,34.038923,-118.266659,90014,Los Angeles,345200.0,16551.0,24737.0
122,Primo's Antojitos Mexicanos,53,5.0,$,+13234019847,(323) 401-9847,10310.357046902554,34.0446119,-118.211358,90033,Los Angeles,291100.0,28005.0,14954.0
123,Woody's Grill Truck,89,3.5,$$,+13104379095,(310) 437-9095,12344.888154732664,34.1638342,-118.3736328,91601,North Hollywood,464200.0,48638.0,14028.0
124,Swami's Sandwiches Food Truck,74,4.5,$$,+13235107123,(323) 510-7123,6632.186047077615,34.0630308941709,-118.249404217752,90015,Los Angeles,429100.0,27393.0,11100.0
125,Ladies Night Out,9,5.0,$,,,12134.113529161543,34.1690903,-118.3442307,91505,Burbank,530600.0,77378.0,6106.0
126,El Milagro,43,4.5,$,+13234235566,(323) 423-5566,9079.118737023136,34.0774040222168,-118.224678039551,90031,Los Angeles,340500.0,34655.0,11383.0
127,Joe's Pizza Truck,22,4.0,$,+13236564800,(323) 656-4800,4584.01045199301,34.1019294,-118.3311749,90028,Hollywood,593900.0,30953.0,18838.0
128,The Friday Night Holy Roller Food Truck Revival,4,3.5,$$,,,10975.308193120969,34.0592818535367,-118.440490732977,90024,Los Angeles,963400.0,54373.0,16154.0
129,Bison Burger,64,4.0,$$,+13234062303,(323) 406-2303,10402.494820890166,34.0236705,-118.2180793,90023,Los Angeles,287500.0,33849.0,10866.0
130,Chomp Chomp Food Truck,53,5.0,$$,+18187325393,(818) 732-5393,11643.218501593854,34.151853,-118.2572827,91203,Glendale,373300.0,43078.0,16151.0
131,Slanging Corea,218,4.5,$,,,12428.113760631226,34.1646703,-118.3735643,91601,North hollywood,464200.0,48638.0,14028.0
132,Churro Boss,213,4.5,$,+12136182585,(213) 618-2585,17291.466082349496,34.064898,-118.133709,91754,Monterey Park ,488100.0,57630.0,7224.0
133,Plant Food For People,178,4.5,$,,,13743.900882970853,34.1092338562012,-118.196769714355,90042,Los Angeles,382100.0,50996.0,13444.0
134,Tacos Los Reyes,40,4.0,$,+13103079110,(310) 307-9110,1509.4746926120017,34.052661,-118.309038,90019,Los Angeles,617300.0,42043.0,16578.0
135,Made In Brooklyn NY Pizza Truck,120,3.5,$,+18444074992,(844) 407-4992,5580.8995529348895,34.0387725830078,-118.26114654541,90015,Los Angeles,429100.0,27393.0,11100.0
136,Habibi Shack Food Truck,27,4.5,$$,+16266588642,(626) 658-8642,4964.923274456955,34.097817,-118.2898677,90027,Los Angeles,793200.0,47993.0,5464.0
137,Buddha Belly,115,4.0,$$,+16264938445,(626) 493-8445,6638.25792684683,34.0438200280931,-118.252910894549,90015,Los Angeles,429100.0,27393.0,11100.0
138,Pickles & Peas Mediterranean Harvest,35,4.5,$$,+12137062555,(213) 706-2555,9822.686217219161,33.98868,-118.2612,90011,Los Angeles,269300.0,30171.0,24240.0
139,Tacos El Venado,398,4.0,$,+13239448320,(323) 944-8320,15203.106841129698,34.186612,-118.388237,91606,North Hollywood,363400.0,42521.0,13491.0
140,Birrieria San Marcos,100,4.0,$,+17472063989,(747) 206-3989,23849.199029940744,34.227452,-118.485642,91343,Los Angeles,380400.0,54166.0,10193.0
